,date,ret
0,2001-01-02,0.0
1,2001-01-03,0.100840337574482
2,2001-01-04,0.04198473319411278
3,2001-01-05,-0.04029304161667824
4,2001-01-08,0.01145038194954395
5,2001-01-09,0.03773584961891174
6,2001-01-10,-0.036363635212183
7,2001-01-11,0.08679245412349701
8,2001-01-12,-0.0451388880610466
9,2001-01-16,-0.003636363660916686
10,2001-01-17,-0.01824817433953285
11,2001-01-18,0.1115241646766663
12,2001-01-19,0.04347826167941093
13,2001-01-22,-0.01282051298767328
14,2001-01-23,0.06493506580591202
15,2001-01-24,0.0
16,2001-01-25,-0.02743902429938316
17,2001-01-26,-0.01880877651274204
18,2001-01-29,0.108626201748848
19,2001-01-30,0.002881844295188785
20,2001-01-31,-0.005747126415371895
21,2001-02-01,-0.02312138676643372
22,2001-02-02,-0.02366863936185837
23,2001-02-05,-0.02121212147176266
24,2001-02-06,0.04643962904810905
25,2001-02-07,-0.01775147952139378
26,2001-02-08,0.0
27,2001-02-09,-0.07831325381994247
28,2001-02-12,0.02941176481544971
29,2001-02-13,-0.02857142873108387
30,2001-02-14,0.01960784383118153
31,2001-02-15,0.02884615398943424
32,2001-02-16,-0.05295950174331665
33,2001-02-20,-0.03618421033024788
34,2001-02-21,0.03071672283113003
35,2001-02-22,-0.003311258275061846
36,2001-02-23,0.0
37,2001-02-26,0.03654485195875168
38,2001-02-27,-0.006410256493836641
39,2001-02-28,-0.05806451663374901
40,2001-03-01,0.02739726006984711
41,2001-03-02,0.02666666731238365
42,2001-03-05,0.05844155699014664
43,2001-03-06,0.05521472543478012
44,2001-03-07,-0.01162790693342686
45,2001-03-08,-0.02058823592960835
46,2001-03-09,-0.02702702768146992
47,2001-03-12,-0.08024691045284271
48,2001-03-13,0.05033557116985321
49,2001-03-14,0.04472843557596207
50,2001-03-15,-0.03669724613428116
51,2001-03-16,-0.003174603218212724
52,2001-03-19,0.04777070134878159
53,2001-03-20,-0.04255319014191628
54,2001-03-21,0.02222222276031971
55,2001-03-22,0.07453416287899017
56,2001-03-23,0.06358381360769272
57,2001-03-26,-0.05304344743490219
58,2001-03-27,0.0500459186732769
59,2001-03-28,-0.03060781583189964
60,2001-03-29,0.01623818650841713
61,2001-03-30,-0.02041726559400558
62,2001-04-02,-0.02174896001815796
63,2001-04-03,-0.06252896785736084
64,2001-04-04,-0.03656125441193581
65,2001-04-05,0.07025645673274994
66,2001-04-06,-0.013416419737041
67,2001-04-09,-0.002428326290100813
68,2001-04-10,0.07302823662757874
69,2001-04-11,-0.01088936813175678
70,2001-04-12,0.02844040654599667
71,2001-04-16,-0.04371095076203346
72,2001-04-17,-0.04850750416517258
73,2001-04-18,0.1171569302678108
74,2001-04-19,0.1285650879144669
75,2001-04-20,-0.02643850818276405
76,2001-04-23,-0.03154955431818962
77,2001-04-24,-0.0090721370652318
78,2001-04-25,0.02871404960751534
79,2001-04-26,-0.001213542884215713
80,2001-04-27,0.06115837022662163
81,2001-04-30,-0.02709927409887314
82,2001-05-01,0.0172616932541132
83,2001-05-02,0.02545313723385334
84,2001-05-03,-0.06130127981305122
85,2001-05-04,0.03165067732334137
86,2001-05-07,-0.03067964687943459
87,2001-05-08,-0.01562497578561306
88,2001-05-09,-0.02401303127408028
89,2001-05-10,-0.04086736962199211
90,2001-05-11,-0.006521722767502069
91,2001-05-14,0.01925604045391083
92,2001-05-15,-0.004723083227872849
93,2001-05-16,0.0396980307996273
94,2001-05-17,-0.02282974496483803
95,2001-05-18,-0.0008491953485645354
96,2001-05-21,0.00127491622697562
97,2001-05-22,-0.002546666655689478
98,2001-05-23,-0.01148938108235598
99,2001-05-24,-0.001291380962356925
100,2001-05-25,-0.01896554045379162
101,2001-05-29,-0.05667842179536819
102,2001-05-30,-0.07871442288160324
103,2001-05-31,0.008594543673098087
104,2001-06-01,0.04711772501468658
105,2001-06-04,-0.01101003121584654
106,2001-06-05,0.01355279237031937
107,2001-06-06,-0.01002870034426451
108,2001-06-07,0.0448625348508358
109,2001-06-08,-0.01569714397192001
110,2001-06-11,-0.06003746762871742
111,2001-06-12,0.01347298081964254
112,2001-06-13,0.007877885363996029
113,2001-06-14,-0.02882267534732819
114,2001-06-15,0.02816908434033394
115,2001-06-18,-0.005381634458899498
116,2001-06-19,-0.006886344868689775
117,2001-06-20,0.07330358773469925
118,2001-06-21,0.03784031793475151
119,2001-06-22,-0.01022674702107906
120,2001-06-25,0.0777178555727005
121,2001-06-26,-0.01000415906310081
122,2001-06-27,-0.01726315170526505
123,2001-06-28,0.008569013327360153
124,2001-06-29,-0.01231949497014284
125,2001-07-02,0.02795697376132011
126,2001-07-03,-0.002510437974706292
127,2001-07-05,-0.02726508490741253
128,2001-07-06,-0.05002155154943466
129,2001-07-09,0.03041307628154755
130,2001-07-10,-0.06872252374887466
131,2001-07-11,0.06622523814439774
132,2001-07-12,0.08074532449245453
133,2001-07-13,0.02011493220925331
134,2001-07-16,-0.03581494092941284
135,2001-07-17,0.04757935553789139
136,2001-07-18,-0.1717131286859512
137,2001-07-19,-0.03992312774062157
138,2001-07-20,0.00100202695466578
139,2001-07-23,-0.02202195301651955
140,2001-07-24,-0.02302972041070461
141,2001-07-25,-0.03247778117656708
142,2001-07-26,0.006497067864984274
143,2001-07-27,0.01990311592817307
144,2001-07-30,-0.001582214143127203
145,2001-07-31,-0.007395635824650526
146,2001-08-01,0.01436926797032356
147,2001-08-02,0.03987409546971321
148,2001-08-03,-0.01614529266953468
149,2001-08-06,-0.01897440291941166
150,2001-08-07,0.006272913888096809
